person_id,project_id_number
1775296,323105910
1853234,20148752
1665875,5213766
1726860,5322954
1726860,5430205
1087040,5148684
1087040,5148770
1087040,5274160
1087040,5279118
1087040,5382125
1087040,5382533
1087040,5386421
1087040,5411160
325194798,329865507
290887589,296109855
1011456,5202820
1011456,5388684
1011456,16627870
1011456,25046481
1011456,182993885
261085734,263796864
1194261,5394839
1194261,29754020
1194261,246700238
1246125,5183926
1246125,5205108
1246125,226334027
1579603,5077718
1579603,5335182
1579603,5410606
1579603,5412652
175470239,5455821
175470239,5455883
175470239,26705250
175470239,46035620
175470239,233025248
175470239,240598830
270941672,310402355
1235186,5315358
262314748,262641669
314856844,388668779
1886694,169743228
1793396,5437046
1793396,16195423
1793396,54863438
1793396,91604824
245660590,245660612
1637304,5360784
1637304,5363067
253567551,278732151
1439457,5171184
1439457,5185204
1378493,5201056
1378493,5222228
1378493,5306532
1378493,5376238
1812202,5427923
1802924,5216580
1802924,12919672
221048223,238047333
188520504,250859189
1819061,5419700
1819061,212406250
1349297,168846269
1349297,397796442
1349297,398065193
1709828,5110828
1709828,5420495
1709828,5424295
1709828,13166150
1709828,62666065
1709828,163602342
1709828,223844358
1709828,258361780
1709828,283963326
1709828,289991887
1709828,316659730
1709828,319506281
1709828,347386996
1709828,386748216
111392431,164260599
1103206,5169024
1103206,5313360
1103206,5393354
148215360,238992486
148215360,374811773
1738824,5400350
366802254,366802323
275574589,203214425
275574589,386755716
1721772,205981743
277599635,318872759
1789835,19945400
1789835,57587620
1789835,230335848
1789835,230651263
1789835,317413324
245012431,245012450
245012431,318216570
1787180,13164596
1787180,91033314
1787180,91034020
1800671,5259192
1378953,5156596
1378953,5358261
1378953,5373082
1378953,5447590
1378953,5449035
1378953,5450005
1378953,64202573
1378953,129228376
1378953,214348296
1378953,234339752
1378953,321088037
1378953,387904162
1041594,164446531
1104774,5285882
1104774,5356232
1104774,5379511
1104774,60946013
1104774,166261376
1104774,194826983
1104774,195216193
1104774,264429002
58651833,58651837
50069767,50069540
1696597,5269628
1696597,5406360
1696597,5417033
1696597,5417430
1696597,25227592
1696597,102731728
1696597,317886062
1607727,5121404
1607727,16647143
1607727,33995400
1607727,312915257
1868199,5451451
1868199,23917761
1868199,110776232
1868199,123166095
1868199,214078536
1868199,267465703
1868199,267468522
1868199,278591666
1726075,5179876
1726075,32870154
1726075,162326187
1726075,198312236
1726075,276873045
68727967,68727869
68727967,230413507
452622,255011267
259329972,261286070
1312431,5382239
1240315,5363504
6909,5308352
66127303,66127184
1625203,5274196
1625203,5349833
1625203,5369981
1625203,5446228
1625203,13656441
1625203,86730235
1625203,193050969
1625203,234775307
1625203,235565503
1625203,253852937
1625203,254024224
1625203,405533709
1753819,5360395
233899826,258667519
233899826,259238682
273942251,289659582
1714015,5298260
160178051,19576047
160178051,163841188
160178051,201832167
58918504,23773410
1703793,5281049
126893685,126893565
