project_id_number,title,funding_start_year,funding_end_year,institution_id,institution_name,duration,subject
276861138,Ermittlung des Wirkmechanismus und der Effizienz reaktiver Filter zur Vermeidung unerwünschter H2-Porosität im Aluminiumguss (C06*),2015,,10349,Technische Universität Bergakademie Freiberg,3,
313079000,Reinheitsgraderhöhung von Flüssigstahl (T01),2016,,10349,Technische Universität Bergakademie Freiberg,3,
313385842,Entfernung von Eisen aus Sekundäraluminium durch Metallschmelzefiltration (A07*),2016,,10349,Technische Universität Bergakademie Freiberg,3,
315588512,"Feldemissions-Rasterelektronenmikroskop mit EDX, EBSD und in situ Nanoindenter",2016,2016,10349,Technische Universität Bergakademie Freiberg,1,
317471001,LC-SPE-NMR-MS-Kombigerät,2016,2016,10349,Technische Universität Bergakademie Freiberg,1,
318386137,X-Ray-Photoelektronen-Spektrometer (XPS),2016,2016,10349,Technische Universität Bergakademie Freiberg,1,
319086149,Aufprallplatten für Aluminiumschmelzöfen auf Basis von korrosionsbeständigen TRIP-fähigen Stahl-Verbundwerkstoffen (T01),2016,,10349,Technische Universität Bergakademie Freiberg,3,
319090845,Herstellung von nichtrostendem und hochfestem Federband (T02),2016,,10349,Technische Universität Bergakademie Freiberg,3,
319094196,Herstellung von verschleißfestem (Keramik-)Stahlformguss für Zerkleinerungs- und Fördermaschinen durch Infiltration (T04),2016,,10349,Technische Universität Bergakademie Freiberg,3,
325196373,Bestimmung der Ermüdungslebensdauer und der Anrissursachen von Stahl-Kolben-Legierungen im VHCF-Bereich bei erhöhten Temperaturen (T02*),2016,,10349,Technische Universität Bergakademie Freiberg,3,
325205802,Anlage zum Selektiven Elektronenstrahlschmelzen (SEBM),2016,2016,10349,Technische Universität Bergakademie Freiberg,1,
325211456,Vakuum-Induktionstiegelofen-Schmelzanlage,2016,2016,10349,Technische Universität Bergakademie Freiberg,1,
325211819,Zwei-Kammer-Vakuum-Induktionsschmelzanlage mit Kokillen- und Strangabzug,2016,2016,10349,Technische Universität Bergakademie Freiberg,1,
361116310,Mahlkreislaufversuchsstand mit Wälzmühle,2017,2017,10349,Technische Universität Bergakademie Freiberg,1,
382369533,Aktive und Reaktive Filtration von Stahl- und Aluminiumschmelzen bei dünn- und dickwandigen Formguss (E01 (Jäckel)),2017,2018,10349,Technische Universität Bergakademie Freiberg,2,
386319757,Kombiniertes Rasterkraft- und Rastertunnelmikroskop (AFM-STM),2017,2017,10349,Technische Universität Bergakademie Freiberg,1,
386482693,Universalbohrgerät,2017,2017,10349,Technische Universität Bergakademie Freiberg,1,
388770302,"Mikrostrukturelle Mechanismen der Stahlmatrix – Interaktion von Versetzungsdynamik, Phasenumwandlung und Zwillingbildung (C09#)",2017,,10349,Technische Universität Bergakademie Freiberg,3,
388770770,Mehrskalenmodellierung der thermomechanischen Eigenschaften von austenitischen TRIP/TWIP-Stählen unter Berücksichtigung von Textureffekten (C10#),2017,,10349,Technische Universität Bergakademie Freiberg,3,
390144544,Thermionen-Massen-Spektrometer (TIMS),2017,2017,10349,Technische Universität Bergakademie Freiberg,1,
395240765,Elektronenstrahlmikroanalysator mit wellenlängendispersiven Röntgenspektrometern,2018,2018,10349,Technische Universität Bergakademie Freiberg,1,
395259190,Röntgendiffraktometer mit HT-Kammer und CT-Detektor,2018,2018,10349,Technische Universität Bergakademie Freiberg,1,
396704276,700 MHz NMR-Spektrometer,2018,2018,10349,Technische Universität Bergakademie Freiberg,1,
268879,GRK 8: Quantitative Analyse und Charakterisierung pharmazeutisch und biochemisch relevanter Substanzen (Analytische Chemie),1995,2004,10051,Eberhard Karls Universität Tübingen,10,
271351,"GRK 258: Ars und Scientia im Mittelalter und in der frühen Neuzeit (11. bis 17. Jahrhundert). Wissenschaft, Universität, Bildung und Literatur im Kontext",1996,2005,10051,Eberhard Karls Universität Tübingen,10,
271625,GRK 286: Pragmatisierung / Entpragmatisierung: Literatur als Spannungsfeld autonomer und heteronomer Bestimmungen,1996,2002,10051,Eberhard Karls Universität Tübingen,7,
272029,GRK 354: Die Bibel - ihre Entstehung und ihre Wirkung,1997,2004,10051,Eberhard Karls Universität Tübingen,8,
272419,"GRK 441: Chemie in Interphasen - Synthese, Dynamik und Anwendung polymerfixierter aktiver Zentren",1998,2007,10051,Eberhard Karls Universität Tübingen,10,
272431,GRK 442: Anatolien und seine Nachbarn. Kulturelle Wechselwirkungen und Zivilisationsentwicklung vom Neolithikum bis in die römische Kaiserzeit,1998,2004,10051,Eberhard Karls Universität Tübingen,7,
272443,GRK 443: Wissenserwerb und Wissensaustausch mit neuen Medien,1999,2007,10051,Eberhard Karls Universität Tübingen,9,
272775,"GRK 530: Lebensstile, soziale Differenzen und Gesundheitsförderung",2000,2002,10051,Eberhard Karls Universität Tübingen,3,
272863,"GRK 554: Unternehmensentwicklung, Marktprozesse und Regulierung in dynamischen Entscheidungsmodellen",1999,2008,10051,Eberhard Karls Universität Tübingen,10,
273235,"GRK 683: Hadronen im Vakuum, in Kernen und Sternen",2001,2009,10051,Eberhard Karls Universität Tübingen,9,
273241,GRK 685: Infektionsbiologie: human- und pflanzenpathogene Bakterien und Pilze,2001,2010,10051,Eberhard Karls Universität Tübingen,10,Grundlagen der Biologie und Medizin
273245,GRK 686: Mechanismen der Entstehung solider Tumoren und experimentelle Therapiekonzepte,2001,2004,10051,Eberhard Karls Universität Tübingen,4,
273435,GRK 778: Kognitive Neurobiologie,2002,2005,10051,Eberhard Karls Universität Tübingen,4,
273447,GRK 785: Globale Herausforderungen - transnationale und transkulturelle Lösungswege,2002,2008,10051,Eberhard Karls Universität Tübingen,7,
273479,GRK 794: Zellbiologische Mechanismen immunassoziierter Prozesse,2002,2011,10051,Eberhard Karls Universität Tübingen,10,
273615,GRK 889: Bioethik - Zur Selbstgestaltung des Menschen durch Biotechniken,2004,2012,10051,Eberhard Karls Universität Tübingen,9,Grundlagen der Biologie und Medizin
5078190,Relativistische Teilchenmethoden (A 7),1998,2000,10051,Eberhard Karls Universität Tübingen,3,
5078194,Quanten-Monte-Carlo-Simulationen von Fermionen im Limes extrem starker Wechselwirkung (A 8),1998,2000,10051,Eberhard Karls Universität Tübingen,3,
5080528,Molecular characterization of sensory hair cell function using a genetic ap-proach in zebrafish (B10),1997,2003,10051,Eberhard Karls Universität Tübingen,7,
5080992,Analyse der autophagocytose in Saccharomyces cerevsiae (A10),1997,2003,10051,Eberhard Karls Universität Tübingen,7,
5081925,Modellierung des Klimas für ausgewählte Zeitscheiben des Neogens (B 5),1998,2001,10051,Eberhard Karls Universität Tübingen,4,
5082120,Klimaeinfluss und molekulare Biodiversität terrestrischer Organismen (D 4),1998,2001,10051,Eberhard Karls Universität Tübingen,4,
5083712,Reaktion mariner Ökosysteme auf globale Abkühlungsphasen - überregionale Vergleiche am Beispiel der späten Oberkreide (A 5),1998,2001,10051,Eberhard Karls Universität Tübingen,4,
