source,target,value
5946,1096156,1
5946,1171694,1
5946,1209728,1
5946,1588602,1
5970,1163223,1
5970,1216972,1
5970,1307701,1
5970,1457751,1
5970,1589602,1
5970,1686473,1
5970,1699519,1
5970,2045764,1
5970,13840731,1
5970,19943613,1
5970,32337182,1
5970,203015439,1
5976,1022116,1
5976,1043403,1
5976,1165400,1
5976,1189817,2
5976,1343214,3
5976,1364351,1
5976,1696367,1
5976,1786256,1
5976,1871383,1
5976,1921612,1
5976,20375484,1
5976,36514422,1
5976,45564456,1
5976,81548348,1
5976,136252702,1
5976,201415128,1
5976,212884973,1
5979,1288625,2
5979,1327690,2
5979,1342575,1
5979,1481378,1
5983,1303339,1
5983,1326859,1
5999,1255056,1
6002,1762647,1
6028,1531988,1
6028,1628245,1
6028,1666505,1
6030,1040455,1
6067,1109373,2
6067,1116898,2
6071,1157956,1
6071,1427884,1
6071,1444108,1
6071,1564466,1
6071,1585621,1
6071,1808409,1
6071,12631763,2
6071,172395900,1
6080,1271450,1
6087,1063762,1
6087,1793264,1
6119,994058,1
6121,255693,1
6121,256813,1
6121,1021366,1
6121,1650426,1
6132,1271062,1
6132,1315532,2
6132,1350051,2
6132,1395479,1
6132,1409779,1
6132,1464727,2
6132,1474740,1
6132,1594809,1
6132,1677861,2
6132,1715262,3
6132,1732062,2
6132,1760472,2
6132,1763092,1
6132,1767283,1
6132,203204079,1
6165,1649449,1
6172,259941,1
6172,1374691,1
6172,1403330,1
6172,1650284,1
6172,1696362,1
6172,1820846,1
6172,59348548,1
6181,1948089,1
6183,1593016,1
6187,1104692,2
6187,1864410,1
6196,5171,1
6196,1061226,1
6196,1115820,1
6196,1138467,1
6196,1174596,1
6196,1208730,1
6196,1244002,1
6199,1440114,1
6201,6132,2
6201,455651,1
6201,987780,1
6201,1271062,1
6201,1315532,2
6201,1350051,2
6201,1395277,1
6201,1395479,1
6201,1399581,1
6201,1409779,1
6201,1430419,2
6201,1464727,2
6201,1474740,1
6201,1522297,1
6201,1621768,1
6201,1677861,2
6201,1715262,2
6201,1732062,2
6201,1760472,2
6201,1763092,2
6201,1763474,1
6201,1767283,1
6201,1869637,1
6201,165484752,2
6201,203204079,1
6201,215923880,1
6235,995167,1
6238,262430,3
6238,1121992,2
6238,1159787,1
6238,1196158,1
6238,1275001,2
6238,1281512,1
6238,1330183,3
6238,1398015,1
6238,1432471,1
6238,1432801,1
6238,1494067,1
6238,1674211,1
6238,1678657,2
6238,1790403,1
6238,59430775,1
6242,1614862,1
6242,1720154,1
6244,254195,1
6244,1010709,1
6244,1102994,1
6244,1107310,1
6244,1157513,1
6244,1181346,1
6244,1192237,1
6244,1225209,1
6244,1412008,1
6244,1673175,1
6244,1673205,1
6249,1447873,1
6252,1023719,1
6252,1116803,1
6252,1262825,1
6252,2025136,1
6254,1553929,1
6289,212751114,1
6299,258467,1
6299,261928,1
6299,1004706,1
6299,1066236,1
6299,1193475,1
6299,1245029,1
6299,1426516,1
6302,1155487,1
6302,1247151,1
6302,1591988,1
6302,214066413,2
6304,1296313,2
6304,1613929,2
6306,1100279,1
6306,1120414,1
6306,1264242,1
6306,1290616,1
6306,1388144,1
6306,1434797,1
6310,1005661,1
6318,987750,1
6318,1076734,1
6318,1240540,1
6318,1250872,1
6318,1321051,1
6318,1372353,1
6318,1469530,1
6318,1475890,1
6318,1515587,1
6318,1585909,1
6318,1609405,1
6318,1678861,1
6318,1715266,1
6318,16708444,2
6318,17894967,1
6318,174794503,1
6318,184074957,2
6318,184322163,1
6318,187067631,1
6318,192822436,1
6318,213953739,1
6318,237518615,1
6318,280551418,1
6318,298751914,1
6338,1078195,1
6338,1126937,1
6338,1196361,2
6338,1294460,1
6338,1464250,2
6338,1607883,2
6338,1833899,1
6338,1842353,1
6338,28729597,1
6344,1002572,1
6350,250546,1
6350,260516,1
6350,1009185,1
6350,1026486,1
6350,1114213,1
6350,1187751,1
6350,1546850,3
6350,1593261,1
6350,1665159,1
6350,1684201,1
6353,1271784,1
6353,1678667,1
6361,252889,2
6371,1112075,1
6371,34240928,1
6371,34241050,1
6382,1080943,2
6382,1385421,1
6384,1143702,1
6384,1848353,1
6384,63977205,1
6384,172114812,1
6409,50356491,1
6474,1052472,1
6485,1552948,1
6485,50746008,1
6490,1435725,2
6490,1527533,1
6498,442455,1
6500,1226334,1
6500,1362537,1
6500,1456656,2
6500,1462286,2
6512,969067,1
6512,1628214,1
6512,1780091,1
6512,1818079,1
6512,12918839,1
6517,1063908,1
6517,1181705,1
6517,1212618,1
6517,1278514,1
6517,1298457,1
6517,1337625,1
6517,1482308,1
6528,1220181,1
6528,1400100,1
6528,1693466,1
6528,1791768,1
6537,1651713,2
6544,6238,1
6544,1159787,1
6544,1167656,1
6544,1196158,1
6544,1275001,1
6544,1281512,1
6544,1330183,1
6544,1398015,1
6544,1432471,1
6544,1494067,1
6544,1657018,1
6544,1674211,1
6544,1790403,1
6544,1924618,1
6548,150099957,1
6557,52507560,1
6557,269235535,1
6561,443428,2
6563,1815943,1
6563,1833670,1
6563,316992826,1
6572,1153255,1
6572,1304589,1
6582,1077005,1
6582,1544464,1
6585,1163502,1
6585,1336701,3
6585,1394613,1
6585,1423673,2
6585,1803852,1
6600,1315225,1
6617,1005661,1
6617,1163262,1
6617,1250437,1
6617,1368956,1
6617,1443426,1
6617,1649026,1
6617,63485342,1
6621,1436785,2
6621,1701644,1
6626,254620,1
6626,389789,1
6626,989240,1
6626,1000256,1
6626,1219408,1
6626,1426516,1
6626,1492151,1
6626,1627183,1
6626,1635282,1
6638,1023719,1
6638,1411750,1
6638,1582326,1
6638,1621546,1
6638,1667755,2
6647,1248968,4
6647,1402346,2
6647,1718670,1
6647,1738135,1
6647,29098348,1
6647,238487359,1
6649,1720786,5
6649,221260347,1
6662,5726,1
6662,260170,2
6662,426928,1
6662,1034836,1
6662,1413634,1
6662,1647464,1
6662,1693474,1
6662,1750720,1
6662,1756162,1
6672,1752742,1
6678,1626917,2
6682,257067,1
6682,257077,1
6682,1077737,1
6682,1150992,1
6682,1180681,1
6682,1202759,1
6682,1240121,1
6682,1324714,1
6682,1411518,1
6682,1455596,1
6686,5477,2
6686,1204393,1
6686,1213828,1
6686,1348010,2
6686,1377942,2
6686,1409672,1
6686,1465178,3
6686,1568001,1
6686,1648451,2
6686,1740469,1
6689,1208753,1
6689,1343193,1
6689,1423673,1
6689,1429206,1
6689,1451664,1
6689,1494675,1
6689,1554846,1
6689,1792187,1
6689,1803852,1
6689,19719589,1
6689,32152836,1
6689,226838716,1
6706,1470841,3
6706,1675727,1
6706,43741889,1
6711,1808477,1
6751,5667,1
6751,261754,1
6751,1045262,1
6751,1630194,1
6751,1663604,1
6751,1694146,1
6751,1742221,1
6751,142009443,1
6751,142009661,1
6751,142009830,1
6755,254149,1
6755,261649,1
6755,261665,1
6755,1016215,1
6755,1096184,1
6755,1164265,1
6755,1278428,1
6755,1316321,1
6755,1362784,2
6759,988327,1
6759,1064185,1
6759,1126113,1
6759,1231245,1
6759,1284952,1
6759,1303050,1
6759,1305050,2
6759,1315797,1
6759,1419340,1
6759,1550536,1
6759,1848740,1
6783,1767806,1
6793,1040343,1
6793,1170784,1
6793,1197066,1
6793,1474629,1
6793,1522136,1
6793,1657366,1
6793,1761990,1
6793,1862067,1
6800,1325290,1
6829,16544413,1
6829,180229349,1
6877,1177177,1
6877,1464373,1
6877,1475934,1
6877,1716715,1
6877,20805750,1
6877,173975800,1
6912,1638215,1
6938,1141841,3
6938,1413896,1
6938,1502584,1
6938,1602534,1
6938,1686430,1
6938,1850339,1
6938,44253434,1
6938,223109972,1
6949,443428,1
6949,1357362,1
6949,1448907,1
6949,1590499,1
6952,1709554,1
6952,27440609,1
6952,50806962,1
6952,100758587,1
6954,1307554,2
6954,1469241,1
250253,250754,1
250253,250756,1
250253,250758,1
250253,250760,1
250253,250762,1
250253,250764,1
250253,250766,1
250253,250768,1
250253,250770,1
250253,257921,1
250253,258895,1
250253,1108277,1
250253,1409148,1
250253,1537127,1
250253,1666716,1
250323,1323187,1
250323,1462360,1
250323,15027203,1
250467,1114044,1
250467,1122727,1
250467,1416077,1
250467,1442288,1
250467,1709820,1
250516,1252920,1
250516,1436549,1
250622,1416055,1
250622,1824459,1
250754,250756,1
250754,250758,1
250754,250760,1
250754,250764,1
250754,250766,1
250754,250768,1
250754,257921,1
250754,258895,1
250754,1108277,1
250754,1409148,1
250754,1537127,1
250754,1666716,1
250756,250758,1
250756,250760,1
250756,250764,1
250756,250766,1
250756,250768,1
250756,257921,2
250756,258895,1
250756,415780,2
250756,1108277,1
250756,1409148,1
250756,1537127,2
250756,1666716,1
250756,9627727,1
250756,27952972,1
250758,250760,1
250758,250766,1
250758,1409148,1
250760,250766,1
250762,250754,1
250762,250756,1
250762,250758,1
250762,250760,1
250762,250764,1
250762,250766,1
250762,250768,1
250762,250770,1
250762,257921,1
250762,258895,1
250762,1108277,1
250762,1409148,1
250762,1537127,1
250762,1666716,1
250764,250758,1
250764,250760,1
250764,250766,1
250764,258895,1
250764,1409148,1
250764,1666716,1
250768,250758,1
250768,250760,1
250768,250764,1
250768,250766,1
250768,258895,1
250768,1409148,1
250768,1666716,1
250770,250754,1
250770,250756,1
250770,250758,1
250770,250760,1
250770,250764,1
250770,250766,1
250770,250768,1
250770,257921,1
250770,258895,1
250770,1108277,1
250770,1409148,1
250770,1537127,1
250770,1666716,1
250936,1359892,1
250936,1442850,1
250936,1505091,1
250936,9599048,1
250968,1214261,1
251084,1037366,1
251084,1359106,1
251084,1449670,1
251084,1832009,1
251084,72250778,1
251084,169562309,1
251084,190218808,1
251448,1050131,1
251448,1393537,1
251448,1401209,1
251448,1823119,1
251575,5946,1
251575,988252,1
251575,1096156,1
251575,1171694,1
251575,1209728,1
251575,1588602,1
251849,1792805,1
251849,2022715,1
251849,63854332,1
251857,17628688,1
251901,256212,1
251901,987550,1
251901,1021811,1
251901,1084132,1
251901,1171332,1
251901,1184044,1
251901,1259332,1
251901,1362809,1
251901,1555029,1
251901,1709174,1
251901,1709180,1
251997,1326938,1
251999,1354520,1
251999,1619782,1
