project_id,subject_area,review_board,research_area
5483958,Anatomie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5484259,Anatomie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5484803,Anatomie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
5485326,Anatomie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
14085162,Anatomie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
16133448,Anatomie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
24676099,Anatomie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
29837756,Anatomie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
32501626,Anatomie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
34016037,Anatomie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
35635434,Anatomie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
63731250,Anatomie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
92137290,Anatomie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
101434521,Anatomie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
157660137,Anatomie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
179309734,Anatomie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
209933838,Anatomie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
214322699,Anatomie,Grundlagen der Biologie und Medizin,Lebenswissenschaften 
425187,Pflanzenzüchtung,"Agrar-, Forstwissenschaften und Tiermedizin",Lebenswissenschaften 
14250334,Pflanzenzüchtung,"Agrar-, Forstwissenschaften und Tiermedizin",Lebenswissenschaften 
46691270,Pflanzenzüchtung,"Agrar-, Forstwissenschaften und Tiermedizin",Lebenswissenschaften 
170483403,Pflanzenzüchtung,"Agrar-, Forstwissenschaften und Tiermedizin",Lebenswissenschaften 
172418080,Pflanzenzüchtung,"Agrar-, Forstwissenschaften und Tiermedizin",Lebenswissenschaften 
425187,Pflanzenernährung,"Agrar-, Forstwissenschaften und Tiermedizin",Lebenswissenschaften 
5470836,Pflanzenernährung,"Agrar-, Forstwissenschaften und Tiermedizin",Lebenswissenschaften 
46691270,Pflanzenernährung,"Agrar-, Forstwissenschaften und Tiermedizin",Lebenswissenschaften 
193709899,Pflanzenernährung,"Agrar-, Forstwissenschaften und Tiermedizin",Lebenswissenschaften 
194371065,Pflanzenernährung,"Agrar-, Forstwissenschaften und Tiermedizin",Lebenswissenschaften 
197048041,Pflanzenernährung,"Agrar-, Forstwissenschaften und Tiermedizin",Lebenswissenschaften 
220238996,Pflanzenernährung,"Agrar-, Forstwissenschaften und Tiermedizin",Lebenswissenschaften 
450043,Mechanik,Mechanik und Konstruktiver Maschinenbau,Ingenieurwissenschaften 
451665,Mechanik,Mechanik und Konstruktiver Maschinenbau,Ingenieurwissenschaften 
771881,Mechanik,Mechanik und Konstruktiver Maschinenbau,Ingenieurwissenschaften 
5472203,Mechanik,Mechanik und Konstruktiver Maschinenbau,Ingenieurwissenschaften 
5483976,Mechanik,Mechanik und Konstruktiver Maschinenbau,Ingenieurwissenschaften 
5484279,Mechanik,Mechanik und Konstruktiver Maschinenbau,Ingenieurwissenschaften 
5485733,Mechanik,Mechanik und Konstruktiver Maschinenbau,Ingenieurwissenschaften 
13758651,Mechanik,Mechanik und Konstruktiver Maschinenbau,Ingenieurwissenschaften 
14802874,Mechanik,Mechanik und Konstruktiver Maschinenbau,Ingenieurwissenschaften 
16071898,Mechanik,Mechanik und Konstruktiver Maschinenbau,Ingenieurwissenschaften 
28259266,Mechanik,Mechanik und Konstruktiver Maschinenbau,Ingenieurwissenschaften 
68237143,Mechanik,Mechanik und Konstruktiver Maschinenbau,Ingenieurwissenschaften 
77309832,Mechanik,Mechanik und Konstruktiver Maschinenbau,Ingenieurwissenschaften 
119193472,Mechanik,Mechanik und Konstruktiver Maschinenbau,Ingenieurwissenschaften 
130242324,Mechanik,Mechanik und Konstruktiver Maschinenbau,Ingenieurwissenschaften 
130334929,Mechanik,Mechanik und Konstruktiver Maschinenbau,Ingenieurwissenschaften 
130379584,Mechanik,Mechanik und Konstruktiver Maschinenbau,Ingenieurwissenschaften 
130482265,Mechanik,Mechanik und Konstruktiver Maschinenbau,Ingenieurwissenschaften 
134839507,Mechanik,Mechanik und Konstruktiver Maschinenbau,Ingenieurwissenschaften 
167466072,Mechanik,Mechanik und Konstruktiver Maschinenbau,Ingenieurwissenschaften 
172488437,Mechanik,Mechanik und Konstruktiver Maschinenbau,Ingenieurwissenschaften 
190389738,Mechanik,Mechanik und Konstruktiver Maschinenbau,Ingenieurwissenschaften 
232311024,Mechanik,Mechanik und Konstruktiver Maschinenbau,Ingenieurwissenschaften 
237091934,Mechanik,Mechanik und Konstruktiver Maschinenbau,Ingenieurwissenschaften 
237201391,Mechanik,Mechanik und Konstruktiver Maschinenbau,Ingenieurwissenschaften 
450043,Strömungsmechanik,"Wärmeenergietechnik, Thermische Maschinen, Strömungsmechanik",Ingenieurwissenschaften 
5471852,Strömungsmechanik,"Wärmeenergietechnik, Thermische Maschinen, Strömungsmechanik",Ingenieurwissenschaften 
5482364,Strömungsmechanik,"Wärmeenergietechnik, Thermische Maschinen, Strömungsmechanik",Ingenieurwissenschaften 
5485123,Strömungsmechanik,"Wärmeenergietechnik, Thermische Maschinen, Strömungsmechanik",Ingenieurwissenschaften 
13839566,Strömungsmechanik,"Wärmeenergietechnik, Thermische Maschinen, Strömungsmechanik",Ingenieurwissenschaften 
25965762,Strömungsmechanik,"Wärmeenergietechnik, Thermische Maschinen, Strömungsmechanik",Ingenieurwissenschaften 
26293245,Strömungsmechanik,"Wärmeenergietechnik, Thermische Maschinen, Strömungsmechanik",Ingenieurwissenschaften 
33442432,Strömungsmechanik,"Wärmeenergietechnik, Thermische Maschinen, Strömungsmechanik",Ingenieurwissenschaften 
35819142,Strömungsmechanik,"Wärmeenergietechnik, Thermische Maschinen, Strömungsmechanik",Ingenieurwissenschaften 
54473466,Strömungsmechanik,"Wärmeenergietechnik, Thermische Maschinen, Strömungsmechanik",Ingenieurwissenschaften 
62584147,Strömungsmechanik,"Wärmeenergietechnik, Thermische Maschinen, Strömungsmechanik",Ingenieurwissenschaften 
66234063,Strömungsmechanik,"Wärmeenergietechnik, Thermische Maschinen, Strömungsmechanik",Ingenieurwissenschaften 
73828240,Strömungsmechanik,"Wärmeenergietechnik, Thermische Maschinen, Strömungsmechanik",Ingenieurwissenschaften 
73857889,Strömungsmechanik,"Wärmeenergietechnik, Thermische Maschinen, Strömungsmechanik",Ingenieurwissenschaften 
90888150,Strömungsmechanik,"Wärmeenergietechnik, Thermische Maschinen, Strömungsmechanik",Ingenieurwissenschaften 
169148856,Strömungsmechanik,"Wärmeenergietechnik, Thermische Maschinen, Strömungsmechanik",Ingenieurwissenschaften 
187005812,Strömungsmechanik,"Wärmeenergietechnik, Thermische Maschinen, Strömungsmechanik",Ingenieurwissenschaften 
211137567,Strömungsmechanik,"Wärmeenergietechnik, Thermische Maschinen, Strömungsmechanik",Ingenieurwissenschaften 
211944370,Strömungsmechanik,"Wärmeenergietechnik, Thermische Maschinen, Strömungsmechanik",Ingenieurwissenschaften 
218499286,Strömungsmechanik,"Wärmeenergietechnik, Thermische Maschinen, Strömungsmechanik",Ingenieurwissenschaften 
220228408,Strömungsmechanik,"Wärmeenergietechnik, Thermische Maschinen, Strömungsmechanik",Ingenieurwissenschaften 
223500200,Strömungsmechanik,"Wärmeenergietechnik, Thermische Maschinen, Strömungsmechanik",Ingenieurwissenschaften 
237189010,Strömungsmechanik,"Wärmeenergietechnik, Thermische Maschinen, Strömungsmechanik",Ingenieurwissenschaften 
243358811,Strömungsmechanik,"Wärmeenergietechnik, Thermische Maschinen, Strömungsmechanik",Ingenieurwissenschaften 
785486,Lebensmittelchemie,Biologische Chemie und Lebensmittelchemie,Naturwissenschaften 
5484428,Lebensmittelchemie,Biologische Chemie und Lebensmittelchemie,Naturwissenschaften 
20088716,Lebensmittelchemie,Biologische Chemie und Lebensmittelchemie,Naturwissenschaften 
785486,Pharmazie,Medizin,Lebenswissenschaften 
814910,Pharmazie,Medizin,Lebenswissenschaften 
5472182,Pharmazie,Medizin,Lebenswissenschaften 
12467772,Pharmazie,Medizin,Lebenswissenschaften 
13759457,Pharmazie,Medizin,Lebenswissenschaften 
14945784,Pharmazie,Medizin,Lebenswissenschaften 
19719780,Pharmazie,Medizin,Lebenswissenschaften 
24286268,Pharmazie,Medizin,Lebenswissenschaften 
24286296,Pharmazie,Medizin,Lebenswissenschaften 
25760443,Pharmazie,Medizin,Lebenswissenschaften 
26333961,Pharmazie,Medizin,Lebenswissenschaften 
33421847,Pharmazie,Medizin,Lebenswissenschaften 
33442432,Pharmazie,Medizin,Lebenswissenschaften 
77760487,Pharmazie,Medizin,Lebenswissenschaften 
100308792,Pharmazie,Medizin,Lebenswissenschaften 
128900243,Pharmazie,Medizin,Lebenswissenschaften 
159663715,Pharmazie,Medizin,Lebenswissenschaften 
182849149,Pharmazie,Medizin,Lebenswissenschaften 
190586431,Pharmazie,Medizin,Lebenswissenschaften 
194347757,Pharmazie,Medizin,Lebenswissenschaften 
194676614,Pharmazie,Medizin,Lebenswissenschaften 
201269156,Pharmazie,Medizin,Lebenswissenschaften 
213555243,Pharmazie,Medizin,Lebenswissenschaften 
235777276,Pharmazie,Medizin,Lebenswissenschaften 
795603,Klassische Archäologie,Alte Kulturen,Geistes- und Sozialwissenschaften 
