project_id_number,institution_id,duration,year
76921082,10349,0,2010.0
76921082,10349,0,2011.0
76921340,10349,0,2008.0
76921340,10349,0,2009.0
76921340,10349,0,2010.0
76921340,10349,0,2011.0
76921382,10349,0,2008.0
76921382,10349,0,2009.0
76921382,10349,0,2010.0
76921382,10349,0,2011.0
76921529,10349,0,2008.0
76921529,10349,0,2009.0
76921529,10349,0,2010.0
76921529,10349,0,2011.0
77371059,10349,0,2008.0
77371059,10349,0,2009.0
77371059,10349,0,2010.0
77371059,10349,0,2011.0
77371205,10349,0,2008.0
77371205,10349,0,2009.0
77371205,10349,0,2010.0
77371205,10349,0,2011.0
77371294,10349,0,2008.0
77371294,10349,0,2009.0
77371294,10349,0,2010.0
77371294,10349,0,2011.0
77371360,10349,0,2008.0
77371360,10349,0,2009.0
77371360,10349,0,2010.0
77371360,10349,0,2011.0
77390940,10349,0,2008.0
77390940,10349,0,2009.0
77390940,10349,0,2010.0
77390940,10349,0,2011.0
77391814,10349,0,2008.0
77391814,10349,0,2009.0
77391814,10349,0,2010.0
77391814,10349,0,2011.0
77411913,10349,0,2008.0
77411913,10349,0,2009.0
77411913,10349,0,2010.0
77411913,10349,0,2011.0
77411993,10349,0,2008.0
77411993,10349,0,2009.0
77411993,10349,0,2010.0
77411993,10349,0,2011.0
77412189,10349,0,2008.0
77412189,10349,0,2009.0
77412189,10349,0,2010.0
77412189,10349,0,2011.0
79930927,10349,1,2008.0
79951223,10349,1,2009.0
80033610,10349,1,2008.0
80176317,10349,4,2008.0
80176317,10349,4,2009.0
80176317,10349,4,2010.0
80176317,10349,4,2011.0
80260303,10349,1,2008.0
80565712,10349,1,2008.0
80606401,10349,1,2008.0
80770440,10349,1,2008.0
139879538,10349,1,2009.0
151881158,10349,1,2009.0
169148856,10349,0,2011.0
169148856,10349,0,2012.0
169148856,10349,0,2013.0
169148856,10349,0,2014.0
174101287,10349,1,2011.0
179010251,10349,1,2010.0
179833559,10349,1,2010.0
196638664,10349,0,2011.0
196638664,10349,0,2012.0
196638664,10349,0,2013.0
196638664,10349,0,2014.0
196650177,10349,0,2011.0
196650177,10349,0,2012.0
196650177,10349,0,2013.0
196650177,10349,0,2014.0
196658916,10349,0,2011.0
196658916,10349,0,2012.0
196658916,10349,0,2013.0
196658916,10349,0,2014.0
