university;subject;overall_study_situation;total_number_of_students;population_of_the_town;proportion_of_students_in_the_town;student_accommodation_rent;students_at_this_campus
RWTH Aachen;Computer Science;1.9;3,720;244,951;23.5;187 - 577;45,404
Uni Augsburg;Computer Science;2;1,800;289,584;9.2;190 - 362;20,035
Uni Bamberg;Computer Science;1.6;550;75,743;17.1;196 - 360;12,663
Uni Bayreuth;Computer Science;1.9;670;73,065;17.8;128 - 332;12,964
FU Berlin;Computer Science;2.5;2,050;3,574,830;5.3;125 - 380;36,771
HU Berlin;Computer Science;2.1;1,600;3,574,830;5.3;125 - 380;34,963
TU Berlin;Computer Science;2.5;5,160;3,574,830;5.3;125 - 380;34,718
Uni Bielefeld;Computer Science;;1,440;333,451;11.4;172 - 355;25,074
Uni Bochum;Computer Science;;600;364,920;15.9;200 - 500;43,059
Uni Bonn;Computer Science;2.2;2,130;322,125;12.4;172 - 633;37,515
TU Braunschweig;Computer Science;2.2;1,010;248,667;8.5;156 - 620;20,116
Jacobs Univ. Bremen (priv.);Computer Science;2.1;180;565,719;6.2;198 - 288;1,325
Uni Bremen;Computer Science;2.1;1,710;565,719;6.2;198 - 288;19,224
TU Chemnitz;Computer Science;;950;246,353;4.3;157 - 260;10,482
TU Clausthal;Computer Science;1.8;450;15,523;28.5;156 - 620;4,423
BTU Cottbus-Senftenberg/Cottbus;Computer Science;1.9;340;100,416;6.2;158 - 385;6,212
TU Darmstadt;Computer Science;1.8;3,840;157,437;29.3;190 - 547;25,840
TU Dortmund;Computer Science;2;5,360;585,813;9.3;181 - 250;33,952
TU Dresden;Computer Science;2.1;2,120;547,172;7.2;107 - 370;29,728
Uni Düsseldorf;Computer Science;2.9;1,430;613,230;9.3;206 - 381;35,343
Uni Duisburg-Essen/Duisb.;Computer Science;2.4;2,510;499,845;;238 - 450;42,910
Uni Duisburg-Essen/Essen;Computer Science;;1,270;583,084;;238 - 450;42,910
Uni Erl.-Nürnb./Erlangen;Computer Science;2.2;2,330;110,238;26.3;151 -319;29,025
Uni Frankfurt a.M.;Computer Science;2.7;2,340;736,414;9.8;203 - 431;47,134
TU Bergakademie Freiberg;Computer Science;;50;41,642;9.9;170 - 380;4,113
Uni Freiburg;Computer Science;2.2;940;227,590;14.4;196 - 412;24,488
Uni Göttingen;Computer Science;;600;119,177;29.9;123 - 353;30,872
FernUni Hagen;Computer Science;;6,460;188,266;38.1;181 - 250;67,983
Uni Halle-Wittenberg;Computer Science;;450;238,005;8.9;184 - 294;20,158
TU Hamburg;Computer Science;2.2;720;1,810,438;6;233 - 415;7,774
Uni Hamburg;Computer Science;;1,640;1,810,438;6;233 - 415;42,853
Uni Hannover;Computer Science;2.6;1,590;532,864;9.3;154 - 395;28,613
Uni Heidelberg;Computer Science;1.8;620;159,914;22;165 - 363;26,980
Uni Hildesheim;Computer Science;1.9;400;101,687;11.3;156 - 620;8,056
TU Ilmenau;Computer Science;2.1;660;36,666;15.8;103 - 348;5,807
Uni Jena;Computer Science;2;470;110,321;19.8;103 - 348;17,335
TU Kaiserslautern;Computer Science;1.7;1,420;99,302;17.5;140 - 395;14,668
Karlsruher Inst. f. Technologie KIT;Computer Science;1.8;3,160;309,999;13.4;157 - 362;24,814
Uni Kassel;Computer Science;2.2;820;199,062;15.3;173 - 420;24,140
Uni Kiel;Computer Science;2.2;1,310;247,441;14.1;150 - 521;26,528
Uni Kobl.-Land./Koblenz;Computer Science;2;940;113,605;13.4;240 - 330;8,614
Uni Konstanz;Computer Science;2.1;590;83,789;19.3;228 - 420;11,078
Uni Leipzig;Computer Science;;1,030;571,088;6.8;138 - 425;28,797
Uni Lübeck;Computer Science;2;1,020;216,712;4.9;150 - 521;4,604
Uni Magdeburg;Computer Science;1.9;1,450;238,136;7.5;154 - 299;13,840
Uni Mainz;Computer Science;;770;213,528;18.2;258 - 412;30,315
Uni Marburg;Computer Science;;1,500;74,675;34.5;151 - 320;25,541
LMU München;Computer Science;;2,120;1,464,301;7.5;181 - 458;50,527
TU München/Garching;Computer Science;1.8;5,330;17,099;94;181 - 458;16,079
Uni BW München;Computer Science;;150;1,464,301;7.5;181 - 458;3,260
Uni Münster;Computer Science;;730;311,846;19.3;174 - 606;44,755
Uni Oldenburg;Computer Science;2.1;860;165,711;10.5;126 - 389;15,218
Uni Osnabrück;Computer Science;1.8;780;164,070;15.6;154 - 401;14,067
Uni Paderborn;Computer Science;2;1,510;148,677;14.8;215 - 600;20,265
Uni Passau;Computer Science;2.1;1,210;51,074;24.9;164 - 461;12,742
H.-Plattner-Inst./Uni Potsdam (priv.);Computer Science;1.5;660;171,810;14.3;160 - 450;660
Uni Potsdam;Computer Science;;680;171,810;14.3;160 - 450;20,616
Uni Regensburg;Computer Science;;570;148,638;21.7;164 - 461;20,792
Uni Rostock;Computer Science;1.9;650;207,513;7.2;190 - 440;13,815
Uni des Saarlandes/Saarbrücken;Computer Science;1.7;1,960;179,709;17.5;206 - 301;16,441
Uni Siegen;Computer Science;;850;101,863;19.8;188 - 435;19,457
Uni Stuttgart;Computer Science;2.3;1,740;628,032;10;235 - 600;26,207
Uni Trier;Computer Science;;270;110,111;16.5;175 - 310;12,714
Uni Tübingen;Computer Science;2.1;1,800;88,347;30.9;167 - 393;27,318
Uni Ulm;Computer Science;1.8;1,240;123,953;11.8;215 - 405;10,461
Uni Weimar;Computer Science;1.9;230;64,355;7.1;103 - 348;3,743
Uni Würzburg;Computer Science;2.1;1,460;126,010;27.6;196 - 360;27,987
Uni Augsburg;Business Computing;1.5;300;289,584;9.2;190 - 362;20,035
Uni Bamberg;Business Computing;1.5;1,070;75,743;17.1;196 - 360;12,663
HU Berlin;Business Computing;;70;3,574,830;5.3;125 - 380;34,963
TU Braunschweig;Business Computing;;730;248,667;8.5;156 - 620;20,116
TU Chemnitz;Business Computing;;140;246,353;4.3;157 - 260;10,482
TU Clausthal;Business Computing;1.8;390;15,523;28.5;156 - 620;4,423
BTU Cottbus-Senftenberg/Cottbus;Business Computing;;80;100,416;6.2;158 - 385;6,212
TU Darmstadt;Business Computing;1.8;670;157,437;29.3;190 - 547;25,840
TU Dresden;Business Computing;;290;547,172;7.2;107 - 370;29,728
Uni Duisburg-Essen/Essen;Business Computing;2.3;1,900;583,084;;238 - 450;42,910
Uni Erl.-Nürnb./Nürnberg;Business Computing;;700;511,628;5.1;151 -319;9,644
Frankfurt School (priv.);Business Computing;1.8;110;736,414;9.8;203 - 431;2,326
Uni Frankfurt a.M.;Business Computing;;120;736,414;9.8;203 - 431;47,134
Uni Göttingen;Business Computing;1.6;440;119,177;29.9;123 - 353;30,872
FernUni Hagen;Business Computing;;4,620;188,266;38.1;181 - 250;67,983
Uni Halle-Wittenberg;Business Computing;;170;238,005;8.9;184 - 294;20,158
Uni Hamburg;Business Computing;;590;1,810,438;6;233 - 415;42,853
Uni Hildesheim;Business Computing;2.9;370;101,687;11.3;156 - 620;8,056
Uni Hohenheim;Business Computing;;110;628,032;10;235 - 600;9,253
TU Ilmenau;Business Computing;;250;36,666;15.8;103 - 348;5,807
Uni Jena;Business Computing;2.6;80;110,321;19.8;103 - 348;17,335
Karlsruher Inst. f. Technologie KIT;Business Computing;1.6;580;309,999;13.4;157 - 362;24,814
Uni Kiel;Business Computing;;200;247,441;14.1;150 - 521;26,528
Uni Kobl.-Land./Koblenz;Business Computing;2.7;690;113,605;13.4;240 - 330;8,614
Uni Köln;Business Computing;;780;1,075,935;9.5;139 - 368;53,175
Uni Leipzig;Business Computing;2;420;571,088;6.8;138 - 425;28,797
Uni Lüneburg;Business Computing;;250;74,494;13.1;156 - 620;9,900
Uni Magdeburg;Business Computing;1.8;180;238,136;7.5;154 - 299;13,840
Uni Mannheim;Business Computing;1.8;620;304,781;9.3;190 - 410;12,012
TU München/Garching;Business Computing;1.6;830;17,099;94;181 - 458;16,079
Uni BW München;Business Computing;;50;1,464,301;7.5;181 - 458;3,260
Uni Münster;Business Computing;1.7;860;311,846;19.3;174 - 606;44,755
Uni Oldenburg;Business Computing;2;560;165,711;10.5;126 - 389;15,218
Uni Osnabrück;Business Computing;;90;164,070;15.6;154 - 401;14,067
Uni Paderborn;Business Computing;1.5;530;148,677;14.8;215 - 600;20,265
Uni Passau;Business Computing;1.4;250;51,074;24.9;164 - 461;12,742
Uni Potsdam;Business Computing;;370;171,810;14.3;160 - 450;20,616
Uni Regensburg;Business Computing;1.7;340;148,638;21.7;164 - 461;20,792
Uni Rostock;Business Computing;1.9;140;207,513;7.2;190 - 440;13,815
Uni des Saarlandes/Saarbrücken;Business Computing;1.9;350;179,709;17.5;206 - 301;16,441
Uni Siegen;Business Computing;;580;101,863;19.8;188 - 435;19,457
Uni Stuttgart;Business Computing;;180;628,032;10;235 - 600;26,207
Uni Trier;Business Computing;;230;110,111;16.5;175 - 310;12,714
Uni Würzburg;Business Computing;2.3;470;126,010;27.6;196 - 360;27,987
RWTH Aachen;Mathematics;1.7;820;244,951;23.5;187 - 577;45,404
Uni Augsburg;Mathematics;2;630;289,584;9.2;190 - 362;20,035
Uni Bayreuth;Mathematics;1.5;270;73,065;17.8;128 - 332;12,964
FU Berlin;Mathematics;;810;3,574,830;5.3;125 - 380;36,771
HU Berlin;Mathematics;;770;3,574,830;5.3;125 - 380;34,963
TU Berlin;Mathematics;2;2,390;3,574,830;5.3;125 - 380;34,718
Uni Bielefeld;Mathematics;;1,070;333,451;11.4;172 - 355;25,074
Uni Bochum;Mathematics;2.2;740;364,920;15.9;200 - 500;43,059
Uni Bonn;Mathematics;1.9;1,080;322,125;12.4;172 - 633;37,515
TU Braunschweig;Mathematics;;550;248,667;8.5;156 - 620;20,116
Jacobs Univ. Bremen (priv.);Mathematics;1.7;40;565,719;6.2;198 - 288;1,325
Uni Bremen;Mathematics;;340;565,719;6.2;198 - 288;19,224
TU Chemnitz;Mathematics;1.5;160;246,353;4.3;157 - 260;10,482
BTU Cottbus-Senftenberg/Cottbus;Mathematics;;100;100,416;6.2;158 - 385;6,212
TU Darmstadt;Mathematics;1.6;720;157,437;29.3;190 - 547;25,840
TU Dortmund;Mathematics;2.3;1,270;585,813;9.3;181 - 250;33,952
TU Dresden;Mathematics;1.8;360;547,172;7.2;107 - 370;29,728
Uni Düsseldorf;Mathematics;;750;613,230;9.3;206 - 381;35,343
Uni Duisburg-Essen/Essen;Mathematics;2.1;1,970;583,084;;238 - 450;42,910
Katholische Universität/Eichstätt;Mathematics;;80;13,457;30.9;;4,153
Uni Erl.-Nürnb./Erlangen;Mathematics;2;540;110,238;26.3;151 -319;29,025
Uni Frankfurt a.M.;Mathematics;;1,400;736,414;9.8;203 - 431;47,134
TU Bergakademie Freiberg;Mathematics;;190;41,642;9.9;170 - 380;4,113
Uni Freiburg;Mathematics;2.1;380;227,590;14.4;196 - 412;24,488
Uni Gießen;Mathematics;;240;86,543;46.3;165 - 444;28,575
Uni Göttingen;Mathematics;1.9;620;119,177;29.9;123 - 353;30,872
Uni Greifswald;Mathematics;;240;57,985;17.7;164 - 540;10,246
FernUni Hagen;Mathematics;;2,310;188,266;38.1;181 - 250;67,983
Uni Halle-Wittenberg;Mathematics;;120;238,005;8.9;184 - 294;20,158
TU Hamburg;Mathematics;;150;1,810,438;6;233 - 415;7,774
Uni Hamburg;Mathematics;;800;1,810,438;6;233 - 415;42,853
Uni Hannover;Mathematics;2.3;640;532,864;9.3;154 - 395;28,613
Uni Heidelberg;Mathematics;;770;159,914;22;165 - 363;26,980
Uni Hildesheim;Mathematics;;600;101,687;11.3;156 - 620;8,056
TU Ilmenau;Mathematics;;70;36,666;15.8;103 - 348;5,807
Uni Jena;Mathematics;1.6;130;110,321;19.8;103 - 348;17,335
TU Kaiserslautern;Mathematics;1.4;530;99,302;17.5;140 - 395;14,668
Karlsruher Inst. f. Technologie KIT;Mathematics;1.8;730;309,999;13.4;157 - 362;24,814
Uni Kassel;Mathematics;2;220;199,062;15.3;173 - 420;24,140
Uni Kiel;Mathematics;;390;247,441;14.1;150 - 521;26,528
Uni Kobl.-Land./Koblenz;Mathematics;;70;113,605;13.4;240 - 330;8,614
Uni Kobl.-Land./Landau;Mathematics;;790;46,006;18.2;155 - 300;8,367
Uni Köln;Mathematics;;2,080;1,075,935;9.5;139 - 368;53,175
Uni Konstanz;Mathematics;1.8;310;83,789;19.3;228 - 420;11,078
Uni Leipzig;Mathematics;;900;571,088;6.8;138 - 425;28,797
Uni Lübeck;Mathematics;2;210;216,712;4.9;150 - 521;4,604
Uni Magdeburg;Mathematics;1.5;300;238,136;7.5;154 - 299;13,840
Uni Mainz;Mathematics;1.8;350;213,528;18.2;258 - 412;30,315
Uni Marburg;Mathematics;;920;74,675;34.5;151 - 320;25,541
LMU München;Mathematics;;2,540;1,464,301;7.5;181 - 458;50,527
TU München/Garching;Mathematics;1.6;1,220;17,099;94;181 - 458;16,079
Uni Münster;Mathematics;2.2;760;311,846;19.3;174 - 606;44,755
Uni Oldenburg;Mathematics;;1,240;165,711;10.5;126 - 389;15,218
Uni Osnabrück;Mathematics;;380;164,070;15.6;154 - 401;14,067
Uni Paderborn;Mathematics;2.1;280;148,677;14.8;215 - 600;20,265
Uni Passau;Mathematics;1.8;110;51,074;24.9;164 - 461;12,742
Uni Potsdam;Mathematics;;290;171,810;14.3;160 - 450;20,616
Uni Regensburg;Mathematics;1.9;400;148,638;21.7;164 - 461;20,792
Uni Rostock;Mathematics;1.7;120;207,513;7.2;190 - 440;13,815
Uni des Saarlandes/Saarbrücken;Mathematics;;220;179,709;17.5;206 - 301;16,441
Uni Siegen;Mathematics;;390;101,863;19.8;188 - 435;19,457
Uni Stuttgart;Mathematics;2;410;628,032;10;235 - 600;26,207
Uni Trier;Mathematics;;240;110,111;16.5;175 - 310;12,714
Uni Tübingen;Mathematics;;330;88,347;30.9;167 - 393;27,318
Uni Ulm;Mathematics;2;1,010;123,953;11.8;215 - 405;10,461
Uni Würzburg;Mathematics;1.9;840;126,010;27.6;196 - 360;27,987
Uni Wuppertal;Mathematics;;1,620;352,390;6.5;190 - 326;21,933
RWTH Aachen;Physics;1.9;1,280;244,951;23.5;187 - 577;45,404
Uni Augsburg;Physics;2;180;289,584;9.2;190 - 362;20,035
Uni Bayreuth;Physics;1.7;200;73,065;17.8;128 - 332;12,964
FU Berlin;Physics;2;560;3,574,830;5.3;125 - 380;36,771
HU Berlin;Physics;2.4;800;3,574,830;5.3;125 - 380;34,963
TU Berlin;Physics;2.2;1,390;3,574,830;5.3;125 - 380;34,718
Uni Bielefeld;Physics;;290;333,451;11.4;172 - 355;25,074
Uni Bochum;Physics;2.1;590;364,920;15.9;200 - 500;43,059
Uni Bonn;Physics;2;1,130;322,125;12.4;172 - 633;37,515
TU Braunschweig;Physics;;220;248,667;8.5;156 - 620;20,116
Jacobs Univ. Bremen (priv.);Physics;;50;565,719;6.2;198 - 288;1,325
Uni Bremen;Physics;;250;565,719;6.2;198 - 288;19,224
TU Chemnitz;Physics;2.6;470;246,353;4.3;157 - 260;10,482
BTU Cottbus-Senftenberg/Cottbus;Physics;;70;100,416;6.2;158 - 385;6,212
TU Darmstadt;Physics;2;640;157,437;29.3;190 - 547;25,840
TU Dortmund;Physics;2.1;1,290;585,813;9.3;181 - 250;33,952
TU Dresden;Physics;1.9;740;547,172;7.2;107 - 370;29,728
Uni Düsseldorf;Physics;2.4;790;613,230;9.3;206 - 381;35,343
Uni Duisburg-Essen/Duisb.;Physics;1.7;570;499,845;;238 - 450;42,910
Uni Erl.-Nürnb./Erlangen;Physics;1.9;640;110,238;26.3;151 -319;29,025
Europa-Uni Flensburg;Physics;;30;87,432;11;150 - 521;5,697
Uni Frankfurt a.M.;Physics;1.9;1,030;736,414;9.8;203 - 431;47,134
Uni Freiburg;Physics;2.3;300;227,590;14.4;196 - 412;24,488
Uni Gießen;Physics;2.6;250;86,543;46.3;165 - 444;28,575
Uni Göttingen;Physics;1.6;850;119,177;29.9;123 - 353;30,872
Uni Greifswald;Physics;;140;57,985;17.7;164 - 540;10,246
Uni Halle-Wittenberg;Physics;1.8;360;238,005;8.9;184 - 294;20,158
Uni Hamburg;Physics;;1,840;1,810,438;6;233 - 415;42,853
Uni Hannover;Physics;1.7;690;532,864;9.3;154 - 395;28,613
Uni Heidelberg;Physics;1.8;1,800;159,914;22;165 - 363;26,980
Uni Hildesheim;Physics;;40;101,687;11.3;156 - 620;8,056
TU Ilmenau;Physics;2;120;36,666;15.8;103 - 348;5,807
Uni Jena;Physics;1.5;460;110,321;19.8;103 - 348;17,335
TU Kaiserslautern;Physics;1.7;420;99,302;17.5;140 - 395;14,668
Karlsruher Inst. f. Technologie KIT;Physics;1.7;1,110;309,999;13.4;157 - 362;24,814
Uni Kassel;Physics;;160;199,062;15.3;173 - 420;24,140
Uni Kiel;Physics;1.9;670;247,441;14.1;150 - 521;26,528
Uni Kobl.-Land./Koblenz;Physics;;90;113,605;13.4;240 - 330;8,614
Uni Kobl.-Land./Landau;Physics;;40;46,006;18.2;155 - 300;8,367
Uni Köln;Physics;1.7;1,450;1,075,935;9.5;139 - 368;53,175
Uni Konstanz;Physics;1.7;300;83,789;19.3;228 - 420;11,078
Uni Leipzig;Physics;;770;571,088;6.8;138 - 425;28,797
Uni Lübeck;Physics;;80;216,712;4.9;150 - 521;4,604
Uni Magdeburg;Physics;2;70;238,136;7.5;154 - 299;13,840
Uni Mainz;Physics;1.8;550;213,528;18.2;258 - 412;30,315
Uni Marburg;Physics;2;460;74,675;34.5;151 - 320;25,541
LMU München;Physics;2;1,780;1,464,301;7.5;181 - 458;50,527
TU München/Garching;Physics;2;1,260;17,099;94;181 - 458;16,079
Uni Münster;Physics;1.9;2,080;311,846;19.3;174 - 606;44,755
Uni Oldenburg;Physics;2.1;1,190;165,711;10.5;126 - 389;15,218
Uni Osnabrück;Physics;;270;164,070;15.6;154 - 401;14,067
Uni Paderborn;Physics;2;200;148,677;14.8;215 - 600;20,265
Uni Potsdam;Physics;;430;171,810;14.3;160 - 450;20,616
Uni Regensburg;Physics;2.1;820;148,638;21.7;164 - 461;20,792
Uni Rostock;Physics;1.5;500;207,513;7.2;190 - 440;13,815
Uni des Saarlandes/Saarbrücken;Physics;;310;179,709;17.5;206 - 301;16,441
Uni Siegen;Physics;;260;101,863;19.8;188 - 435;19,457
Uni Stuttgart;Physics;2;420;628,032;10;235 - 600;26,207
Uni Tübingen;Physics;1.8;650;88,347;30.9;167 - 393;27,318
Uni Ulm;Physics;2.4;300;123,953;11.8;215 - 405;10,461
Uni Würzburg;Physics;2;630;126,010;27.6;196 - 360;27,987
Uni Wuppertal;Physics;;680;352,390;6.5;190 - 326;21,933
Uni Augsburg;Law;;2,700;289,584;9.2;190 - 362;20,035
Uni Bayreuth;Law;1.4;1,810;73,065;17.8;128 - 332;12,964
FU Berlin;Law;2.6;2,730;3,574,830;5.3;125 - 380;36,771
HU Berlin;Law;;3,260;3,574,830;5.3;125 - 380;34,963
Uni Bielefeld;Law;2.5;4,110;333,451;11.4;172 - 355;25,074
Uni Bochum;Law;2.4;4,260;364,920;15.9;200 - 500;43,059
Uni Bonn;Law;2;4,710;322,125;12.4;172 - 633;37,515
Uni Bremen;Law;2.5;1,460;565,719;6.2;198 - 288;19,224
Uni Düsseldorf;Law;1.7;1,980;613,230;9.3;206 - 381;35,343
EBS Universität/Wiesbaden (priv.);Law;1.4;350;277,619;4.3;203 - 431;436
Uni Erl.-Nürnb./Erlangen;Law;2.4;2,930;110,238;26.3;151 -319;29,025
Uni Frankfurt a.M.;Law;;4,600;736,414;9.8;203 - 431;47,134
Europa-Uni Frankfurt O.;Law;1.7;2,170;58,193;11.4;158 - 385;6,610
Uni Freiburg;Law;2;2,440;227,590;14.4;196 - 412;24,488
Uni Gießen;Law;1.9;2,190;86,543;46.3;165 - 444;28,575
Uni Göttingen;Law;1.8;3,030;119,177;29.9;123 - 353;30,872
Uni Greifswald;Law;2.4;1,570;57,985;17.7;164 - 540;10,246
FernUni Hagen;Law;;7,320;188,266;38.1;181 - 250;67,983
Uni Halle-Wittenberg;Law;1.6;2,340;238,005;8.9;184 - 294;20,158
Bucerius LS Hamburg (priv.);Law;1.2;690;1,810,438;6;233 - 415;853
Uni Hamburg;Law;;4,140;1,810,438;6;233 - 415;42,853
Uni Hannover;Law;2;2,390;532,864;9.3;154 - 395;28,613
Uni Heidelberg;Law;2.6;2,710;159,914;22;165 - 363;26,980
Uni Jena;Law;1.9;1,540;110,321;19.8;103 - 348;17,335
Uni Kiel;Law;2.3;2,060;247,441;14.1;150 - 521;26,528
Uni Köln;Law;;5,190;1,075,935;9.5;139 - 368;53,175
Uni Konstanz;Law;2;1,760;83,789;19.3;228 - 420;11,078
Uni Leipzig;Law;;2,450;571,088;6.8;138 - 425;28,797
Uni Mainz;Law;;3,040;213,528;18.2;258 - 412;30,315
Uni Mannheim;Law;1.6;1,460;304,781;9.3;190 - 410;12,012
Uni Marburg;Law;2.2;2,360;74,675;34.5;151 - 320;25,541
LMU München;Law;;4,460;1,464,301;7.5;181 - 458;50,527
Uni Münster;Law;1.8;6,120;311,846;19.3;174 - 606;44,755
Uni Osnabrück;Law;2.1;2,150;164,070;15.6;154 - 401;14,067
Uni Passau;Law;1.5;2,330;51,074;24.9;164 - 461;12,742
Uni Potsdam;Law;2.1;4,660;171,810;14.3;160 - 450;20,616
Uni Regensburg;Law;;2,500;148,638;21.7;164 - 461;20,792
Uni des Saarlandes/Saarbrücken;Law;2;2,550;179,709;17.5;206 - 301;16,441
Uni Trier;Law;;2,230;110,111;16.5;175 - 310;12,714
Uni Tübingen;Law;2.6;2,650;88,347;30.9;167 - 393;27,318
Uni Würzburg;Law;2.2;3,600;126,010;27.6;196 - 360;27,987
RWTH Aachen;Architecture;2;1,660;244,951;23.5;187 - 577;45,404
Alanus HS/Alfter (priv.);Architecture;1.7;110;23,531;6.8;;1,589
TU Berlin;Architecture;2.8;1,540;3,574,830;5.3;125 - 380;34,718
UdK Berlin;Architecture;1.7;330;3,574,830;5.3;125 - 380;3,838
TU Braunschweig;Architecture;2.2;1,200;248,667;8.5;156 - 620;20,116
BTU Cottbus-Senftenberg/Cottbus;Architecture;2.2;780;100,416;6.2;158 - 385;6,212
TU Darmstadt;Architecture;3.1;1,350;157,437;29.3;190 - 547;25,840
TU Dortmund;Architecture;;960;585,813;9.3;181 - 250;33,952
TU Dresden;Architecture;3.4;740;547,172;7.2;107 - 370;29,728
HCU Hamburg;Architecture;3.2;630;1,810,438;6;233 - 415;2,325
Uni Hannover;Architecture;2.1;790;532,864;9.3;154 - 395;28,613
TU Kaiserslautern;Architecture;2.2;550;99,302;17.5;140 - 395;14,668
Karlsruher Inst. f. Technologie KIT;Architecture;2.1;840;309,999;13.4;157 - 362;24,814
Uni Kassel;Architecture;;870;199,062;15.3;173 - 420;24,140
TU München;Architecture;1.8;1,490;1,464,301;7.5;181 - 458;19,082
Uni Siegen;Architecture;;630;101,863;19.8;188 - 435;19,457
ABK Stuttgart;Architecture;1.7;150;628,032;10;235 - 600;881
Uni Stuttgart;Architecture;1.9;1,240;628,032;10;235 - 600;26,207
Uni Weimar;Architecture;1.9;680;64,355;7.1;103 - 348;3,743
Uni Wuppertal;Architecture;2.1;460;352,390;6.5;190 - 326;21,933
RWTH Aachen;Industrial Engineering;2;570;244,951;23.5;187 - 577;45,404
Uni Augsburg;Industrial Engineering;1.8;700;289,584;9.2;190 - 362;20,035
Uni Bayreuth;Industrial Engineering;1.5;430;73,065;17.8;128 - 332;12,964
Steinbeis HS Berlin (priv.);Industrial Engineering;;130;3,574,830;5.3;125 - 380;7,619
TU Berlin;Industrial Engineering;2.3;2,810;3,574,830;5.3;125 - 380;34,718
TU Braunschweig;Industrial Engineering;2;450;248,667;8.5;156 - 620;20,116
Jacobs Univ. Bremen (priv.);Industrial Engineering;1.9;80;565,719;6.2;198 - 288;1,325
Uni Bremen;Industrial Engineering;;750;565,719;6.2;198 - 288;19,224
TU Chemnitz;Industrial Engineering;;360;246,353;4.3;157 - 260;10,482
TU Clausthal;Industrial Engineering;1.7;820;15,523;28.5;156 - 620;4,423
BTU Cottbus-Senftenberg/Cottbus;Industrial Engineering;1.8;480;100,416;6.2;158 - 385;6,212
TU Darmstadt;Industrial Engineering;2.2;2,440;157,437;29.3;190 - 547;25,840
TU Dortmund;Industrial Engineering;;2,740;585,813;9.3;181 - 250;33,952
TU Dresden;Industrial Engineering;1.6;690;547,172;7.2;107 - 370;29,728
Uni Duisburg-Essen/Duisb.;Industrial Engineering;1.5;1,690;499,845;;238 - 450;42,910
Uni Erl.-Nürnb./Erlangen;Industrial Engineering;;1,820;110,238;26.3;151 -319;29,025
Europa-Uni Flensburg;Industrial Engineering;;;87,432;11;150 - 521;5,697
TU Bergakademie Freiberg;Industrial Engineering;;260;41,642;9.9;170 - 380;4,113
TU Hamburg;Industrial Engineering;;750;1,810,438;6;233 - 415;7,774
Uni Hamburg;Industrial Engineering;;760;1,810,438;6;233 - 415;42,853
Uni BW Hamburg;Industrial Engineering;;120;1,810,438;6;233 - 415;2,667
Uni Hannover;Industrial Engineering;2.1;880;532,864;9.3;154 - 395;28,613
TU Ilmenau;Industrial Engineering;1.7;670;36,666;15.8;103 - 348;5,807
TU Kaiserslautern;Industrial Engineering;2.1;1,310;99,302;17.5;140 - 395;14,668
Karlsruher Inst. f. Technologie KIT;Industrial Engineering;1.5;3,120;309,999;13.4;157 - 362;24,814
Uni Kassel;Industrial Engineering;2.3;920;199,062;15.3;173 - 420;24,140
Uni Kiel;Industrial Engineering;;430;247,441;14.1;150 - 521;26,528
Uni Lüneburg;Industrial Engineering;;10;74,494;13.1;156 - 620;9,900
Uni Magdeburg;Industrial Engineering;;90;238,136;7.5;154 - 299;13,840
Uni Paderborn;Industrial Engineering;;1,250;148,677;14.8;215 - 600;20,265
Uni Rostock;Industrial Engineering;;250;207,513;7.2;190 - 440;13,815
Uni Siegen;Industrial Engineering;;830;101,863;19.8;188 - 435;19,457
Uni Weimar;Industrial Engineering;;670;64,355;7.1;103 - 348;3,743
Uni Wuppertal;Industrial Engineering;2.5;460;352,390;6.5;190 - 326;21,933
Uni Bayreuth;Mechatronics;;60;73,065;17.8;128 - 332;12,964
TU Braunschweig;Mechatronics;;180;248,667;8.5;156 - 620;20,116
Uni Bremen;Mechatronics;;270;565,719;6.2;198 - 288;19,224
TU Chemnitz;Mechatronics;;120;246,353;4.3;157 - 260;10,482
TU Darmstadt;Mechatronics;1.9;520;157,437;29.3;190 - 547;25,840
TU Dresden;Mechatronics;1.9;370;547,172;7.2;107 - 370;29,728
Uni Erl.-Nürnb./Erlangen;Mechatronics;;690;110,238;26.3;151 -319;29,025
TU Hamburg;Mechatronics;;450;1,810,438;6;233 - 415;7,774
Uni BW Hamburg;Mechatronics;;20;1,810,438;6;233 - 415;2,667
Uni Hannover;Mechatronics;;300;532,864;9.3;154 - 395;28,613
TU Ilmenau;Mechatronics;;230;36,666;15.8;103 - 348;5,807
Karlsruher Inst. f. Technologie KIT;Mechatronics;1.8;840;309,999;13.4;157 - 362;24,814
Uni Kassel;Mechatronics;;240;199,062;15.3;173 - 420;24,140
Uni Magdeburg;Mechatronics;;90;238,136;7.5;154 - 299;13,840
TU München/Garching;Mechatronics;;120;17,099;94;181 - 458;16,079
Uni Rostock;Mechatronics;;90;207,513;7.2;190 - 440;13,815
Uni des Saarlandes/Saarbrücken;Mechatronics;;230;179,709;17.5;206 - 301;16,441
Uni Siegen;Mechatronics;;190;101,863;19.8;188 - 435;19,457
Uni Stuttgart;Mechatronics;;370;628,032;10;235 - 600;26,207
FU Berlin;Pharmacy;;720;3,574,830;5.3;125 - 380;36,771
Uni Bonn;Pharmacy;2.8;1,400;322,125;12.4;172 - 633;37,515
