source,target,value
1003342,1366092,1
1003342,1377666,1
1003342,1409372,1
1003342,1693529,1
1003342,255884,1
1003342,258537,1
1003342,258549,1
1003342,28874431,1
1003365,1176331,1
1003365,1202734,1
1003365,1524649,2
1003365,1602293,1
1003365,1662821,1
1003365,1729534,1
1003365,1818123,2
1003365,1845092,1
1003379,1055994,1
1003379,1135263,3
1003379,1144268,1
1003379,1228225,2
1003379,1300004,1
1003379,1348729,2
1003379,1358074,2
1003379,1435102,1
1003379,1467831,1
1003379,1547027,2
1003379,1565812,1
1003379,1615775,1
1003379,1631445,1
1003379,1678684,3
1003379,1679085,2
1003379,1679237,1
1003379,1700225,1
1003379,1711897,2
1003379,1749025,1
1003379,1819285,1
1003379,184034316,1
1003379,188428736,1
1003379,20004985,1
1003379,252863681,1
1003379,310983339,1
1003423,1211416,1
1003423,1259547,1
1003423,1483091,1
1003423,1575482,1
1003518,1067243,1
1003549,1441164,1
1003549,1716398,1
1003585,1409406,1
1003585,1616444,1
1003585,1660771,1
1003585,213793855,1
1003585,30635947,1
100369761,100410545,1
1003772,1016063,1
1003772,1367022,1
1003772,1389509,1
1003772,1390943,1
1003772,1414165,1
1003772,1425515,1
1003772,1584347,1
1003772,1641140,1
1003772,1650404,1
1003772,1765273,1
1003772,1821991,1
1003772,205686887,1
1003772,46260937,1
1003772,5352,2
1003831,1508114,1
1003831,1541942,1
1003831,1545469,2
1003831,262771992,1
1003884,1005661,1
1003884,1032347,1
1003884,1115202,1
1003884,1163262,1
1003884,1250437,1
1003884,1278440,1
1003884,1368956,1
1003884,1374586,1
1003884,1380107,1
1003884,1383870,1
1003884,1386192,1
1003884,1418590,1
1003884,1443426,1
1003884,1539692,1
1003884,1595169,1
1003884,1625933,1
1003884,1649026,1
1003884,1685936,1
1003884,171030941,1
1003884,1745141,1
1003884,1808199,1
1003884,1849184,1
1003884,1858344,1
1003884,1869530,1
1003884,22548638,1
1003884,23097493,1
1003884,468610,1
1003884,63485342,1
